2025-06-08 15:57:54,324 - INFO - Nombre de coordonn�es uniques: 335
2025-06-08 16:00:36,051 - ERROR - HTTP 422 for coord -19.656741935743984,34.884117689720284
2025-06-08 16:00:36,056 - INFO - Coord (np.float64(-19.656741935743984), np.float64(34.884117689720284)) -> soil_type: None
2025-06-08 16:00:37,397 - ERROR - HTTP 422 for coord -19.65622352982683,34.93293109872029
2025-06-08 16:00:37,399 - INFO - Coord (np.float64(-19.65622352982683), np.float64(34.93293109872029)) -> soil_type: None
2025-06-08 16:00:38,757 - ERROR - HTTP 422 for coord -19.70446560467731,34.738167023875015
2025-06-08 16:00:38,761 - INFO - Coord (np.float64(-19.70446560467731), np.float64(34.738167023875015)) -> soil_type: None
2025-06-08 16:00:40,111 - ERROR - HTTP 422 for coord -19.703985608193985,34.78699884862323
2025-06-08 16:00:40,113 - INFO - Coord (np.float64(-19.703985608193985), np.float64(34.78699884862323)) -> soil_type: None
2025-06-08 16:00:41,477 - ERROR - HTTP 422 for coord -19.70246643543727,34.93348619048247
2025-06-08 16:00:41,482 - INFO - Coord (np.float64(-19.70246643543727), np.float64(34.93348619048247)) -> soil_type: None
2025-06-08 16:00:42,829 - ERROR - HTTP 422 for coord -19.749737856145405,34.83635793726383
2025-06-08 16:00:42,830 - INFO - Coord (np.float64(-19.749737856145405), np.float64(34.83635793726383)) -> soil_type: None
2025-06-08 16:00:44,170 - ERROR - HTTP 422 for coord -19.749230435072004,34.88520118981994
2025-06-08 16:00:44,171 - INFO - Coord (np.float64(-19.749230435072004), np.float64(34.88520118981994)) -> soil_type: None
2025-06-08 16:00:45,515 - ERROR - HTTP 422 for coord -19.74870902925564,34.93404259874957
2025-06-08 16:00:45,517 - INFO - Coord (np.float64(-19.74870902925564), np.float64(34.93404259874957)) -> soil_type: None
2025-06-08 16:00:46,850 - ERROR - HTTP 422 for coord -19.79547427699593,34.88574518612686
